"","OTU","Sensitive_A","Tolerant_A","Sensitive_O","Tolerant_O"
"306","C3_S51_L004_contig_1590",FALSE,TRUE,FALSE,FALSE
"307","C3_S51_L004_contig_1618",TRUE,FALSE,FALSE,FALSE
"308","C3_S51_L004_contig_1681",TRUE,FALSE,FALSE,FALSE
"309","C3_S51_L004_contig_1856",TRUE,FALSE,FALSE,FALSE
"310","C3_S51_L004_contig_1859",FALSE,FALSE,TRUE,FALSE
"311","C3_S51_L004_contig_1911",TRUE,FALSE,FALSE,FALSE
"312","C3_S51_L004_contig_198",FALSE,FALSE,FALSE,TRUE
"313","C3_S51_L004_contig_2016",TRUE,FALSE,TRUE,FALSE
"314","C3_S51_L004_contig_2033",FALSE,FALSE,TRUE,FALSE
"315","C3_S51_L004_contig_2047",TRUE,FALSE,TRUE,FALSE
"316","C3_S51_L004_contig_2110",TRUE,FALSE,TRUE,FALSE
"317","C3_S51_L004_contig_2201",TRUE,FALSE,FALSE,FALSE
"318","C3_S51_L004_contig_2229",TRUE,FALSE,FALSE,FALSE
"319","C3_S51_L004_contig_2358",TRUE,FALSE,FALSE,FALSE
"320","C3_S51_L004_contig_2361",FALSE,FALSE,TRUE,FALSE
"321","C3_S51_L004_contig_2475",TRUE,FALSE,TRUE,FALSE
"322","C3_S51_L004_contig_2483",FALSE,FALSE,TRUE,FALSE
"323","C3_S51_L004_contig_250",FALSE,FALSE,TRUE,FALSE
"324","C3_S51_L004_contig_2550",TRUE,FALSE,TRUE,FALSE
"325","C3_S51_L004_contig_2698",TRUE,FALSE,FALSE,FALSE
"326","C3_S51_L004_contig_2747",FALSE,FALSE,TRUE,FALSE
"327","C3_S51_L004_contig_2883",TRUE,FALSE,TRUE,FALSE
"328","C3_S51_L004_contig_2894",FALSE,FALSE,TRUE,FALSE
"329","C3_S51_L004_contig_2940",FALSE,FALSE,TRUE,FALSE
"330","C3_S51_L004_contig_3028",TRUE,FALSE,FALSE,FALSE
"331","C3_S51_L004_contig_3045",FALSE,TRUE,FALSE,FALSE
"332","C3_S51_L004_contig_3066",TRUE,FALSE,TRUE,FALSE
"333","C3_S51_L004_contig_3085",TRUE,FALSE,FALSE,FALSE
"334","C3_S51_L004_contig_3168",FALSE,FALSE,TRUE,FALSE
"335","C3_S51_L004_contig_3175",FALSE,TRUE,FALSE,TRUE
"336","C3_S51_L004_contig_3177",FALSE,TRUE,FALSE,FALSE
"337","C3_S51_L004_contig_3260",FALSE,FALSE,TRUE,FALSE
"338","C3_S51_L004_contig_332",TRUE,FALSE,TRUE,FALSE
"339","C3_S51_L004_contig_3358",FALSE,FALSE,FALSE,TRUE
"340","C3_S51_L004_contig_3365",FALSE,FALSE,FALSE,TRUE
"341","C3_S51_L004_contig_3404",FALSE,FALSE,TRUE,FALSE
"342","C3_S51_L004_contig_3426",TRUE,FALSE,TRUE,FALSE
